id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_equipe_%,centile_True_Shooting_equipe_%,True_Shooting_opp_%,centile_True_Shooting_opp_%,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-35TLM-1NLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",1,12:32,32,29,25,10,15,6,40.0,15,10,4,40.0,58,8,5,62.5,26,12,5,7,9,2,2,3,29,28,21,12,14,10,71.4,90,7,2,28.6,23,4,2,50.0,12,13,3,10,8,1,3,6,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-1N,LM-93P,LM-2B,752.0,34,90.625,58,96.55172413793103,18,-5.926724137931032,35,102.12765957446808,75,92.55319148936171,65,9.574468085106375,80,50.84151472650772,26,61.511423550087876,67,-10.669908823580158,26,101.68302945301544,26,123.02284710017575,32,-21.339817647160316,26,orange
LM-12HLM-34DLM-35TLM-93PLM-5N,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 5 M. Ngouama",7,12:20,30,32,22,11,10,7,70.0,83,12,4,33.3,40,6,6,100.0,88,7,2,5,7,5,3,8,30,25,17,8,10,6,60.0,70,7,2,28.6,23,11,7,63.6,22,7,2,5,3,1,5,3,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,5 M. Ngouama,LM-12H,LM-34D,LM-35T,LM-93P,LM-5N,740.0,33,106.66666666666667,81,83.33333333333334,49,23.33333333333333,75,97.2972972972973,58,97.2972972972973,43,0.0,50,64.93506493506493,69,57.234432234432234,51,7.700632700632696,63,129.87012987012986,69,114.46886446886447,48,15.401265401265391,63,orange
LM-12HLM-35TLM-1NLM-44NLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 44 W. Narace, 93 N. Penda",0,12:04,22,19,13,7,5,4,80.0,94,8,3,37.5,52,4,2,50.0,14,9,1,8,4,0,4,5,27,19,16,6,14,5,35.7,11,2,1,50.0,85,8,6,75.0,42,6,2,4,5,2,3,6,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,44 W. Narace,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-44N,LM-93P,724.0,30,86.36363636363636,50,70.37037037037037,78,15.993265993265993,67,72.92817679558011,3,89.50276243093923,74,-16.574585635359114,11,64.36314363143632,68,48.66803278688525,21,15.695110844551067,79,128.72628726287263,68,97.3360655737705,78,31.390221689102134,79,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",4,11:01,25,22,19,9,13,6,46.2,27,6,3,50.0,79,4,1,25.0,4,9,5,4,5,3,3,6,24,18,12,6,6,3,50.0,42,6,3,50.0,85,7,3,42.9,8,4,2,2,6,1,4,3,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,661.0,16,88.0,56,75.0,65,13.0,62,90.77155824508321,24,87.14069591527988,79,3.6308623298033353,62,52.98651252408477,31,59.6816976127321,61,-6.695185088647328,33,105.97302504816955,31,119.3633952254642,38,-13.390370177294656,33,orange
LM-12HLM-34DLM-35TLM-15YLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan",5,11:01,29,21,17,8,12,6,50.0,35,5,2,40.0,58,6,3,50.0,14,13,3,10,6,2,3,3,28,16,20,6,14,5,35.7,11,6,1,16.7,5,4,3,75.0,42,9,2,7,6,3,3,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-15Y,LM-2B,661.0,16,72.41379310344827,27,57.14285714285714,94,15.270935960591132,65,105.29500756429651,82,101.66414523449319,24,3.630862329803321,61,53.462321792260695,34,36.764705882352935,2,16.69761590990776,80,106.92464358452139,34,73.52941176470587,97,33.39523181981552,80,orange
JB-3SJB-8UJB-34KJB-5BJB-13C,"3 M. Salash, 8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda",3,62:15,172,123,95,34,69,25,36.2,8,26,9,34.6,44,58,46,79.3,54,59,20,39,32,11,24,33,146,120,93,44,57,31,54.4,56,36,13,36.1,51,34,19,55.9,15,51,13,38,35,10,22,50,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,JB-3S,JB-8U,JB-34K,JB-5B,JB-13C,3735.0,98,71.51162790697676,25,82.1917808219178,51,-10.680152914941047,29,110.52208835341365,91,93.81526104417671,60,16.706827309236942,89,51.02887487553933,27,55.576139310855865,43,-4.547264435316535,38,102.05774975107866,27,111.15227862171173,56,-9.09452887063307,38,blue
JB-11AJB-3SJB-8UJB-34KJB-13C,"11 J. Ayayi, 3 M. Salash, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda",17,39:09,94,96,58,34,41,27,65.9,75,17,7,41.2,61,27,21,77.8,53,27,4,23,25,8,8,21,88,79,50,27,25,16,64.0,75,25,11,44.0,79,17,14,82.4,58,17,2,15,21,3,18,29,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,3 M. Salash,8 J. Usher,34 K. Kokila,13 X. Castaneda,JB-11A,JB-3S,JB-8U,JB-34K,JB-13C,2349.0,91,102.12765957446808,75,89.77272727272727,35,12.354932301740817,60,96.04086845466156,52,89.91060025542784,72,6.130268199233726,70,68.68918145392101,75,68.7195546276966,87,-0.030373173775586793,46,137.37836290784202,75,137.4391092553932,12,-0.060746347551173585,46,blue
JB-11AJB-8UJB-34KJB-13CJB-4N,"11 J. Ayayi, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda, 4 A. Nelson",-1,22:01,57,56,35,19,18,11,61.1,63,17,8,47.1,73,14,10,71.4,39,17,5,12,15,2,5,16,55,57,38,20,27,16,59.3,69,11,4,36.4,53,19,13,68.4,29,16,5,11,16,2,4,11,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,8 J. Usher,34 K. Kokila,13 X. Castaneda,4 A. Nelson,JB-11A,JB-8U,JB-34K,JB-13C,JB-4N,1321.0,77,98.24561403508771,72,103.63636363636364,8,-5.390749601275928,36,103.55791067373202,79,99.92429977289932,32,3.633610900832707,62,68.02721088435375,74,61.47540983606557,65,6.551801048288176,60,136.0544217687075,74,122.95081967213115,34,13.103602096576353,60,blue
JB-11AJB-27PJB-10NJB-33PJB-4N,"11 J. Ayayi, 27 J. Pansa, 10 M. Ngouama, 33 B. Paul, 4 A. Nelson",0,21:09,56,36,32,12,23,11,47.8,29,9,1,11.1,7,16,11,68.8,37,22,7,15,12,4,12,12,53,36,37,14,24,10,41.7,20,13,4,30.8,29,6,4,66.7,25,13,4,9,11,7,6,15,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,27 J. Pansa,10 M. Ngouama,33 B. Paul,4 A. Nelson,JB-11A,JB-27P,JB-10N,JB-33P,JB-4N,1269.0,75,64.28571428571429,11,67.9245283018868,86,-3.6388140161725033,37,105.91016548463357,86,100.23640661938533,31,5.673758865248232,70,46.10655737704918,15,45.40867810292634,11,0.6978792741228403,47,92.21311475409836,15,90.81735620585268,88,1.3957585482456807,47,blue
JB-8UJB-34KJB-5BJB-13CJB-4N,"8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda, 4 A. Nelson",-6,16:15,38,35,22,10,14,8,57.1,50,8,2,25.0,24,15,13,86.7,71,11,4,7,5,1,6,17,41,41,23,13,13,9,69.2,86,10,4,40.0,68,16,11,68.8,29,10,2,8,11,0,7,14,JL Bourg-en-Bresse,Betclic Elite,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,4 A. Nelson,JB-8U,JB-34K,JB-5B,JB-13C,JB-4N,975.0,58,92.10526315789474,60,100.0,14,-7.89473684210526,32,93.53846153846155,39,100.92307692307692,26,-7.384615384615373,27,61.18881118881119,58,68.24234354194407,86,-7.05353235313288,32,122.37762237762237,58,136.48468708388813,13,-14.10706470626576,32,blue
