id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes
LM-12HLM-35TLM-15YLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",6,10:00,19,17,12,6,10,6,60.0,63,2,0,0.0,1,5,5,100.0,90,7,0,7,4,2,2,7,24,11,15,3,10,2,20.0,1,5,1,20.0,10,4,4,100.0,90,8,3,5,1,1,4,5,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-15Y,LM-93P,LM-2B,600.0,0,89.47368421052632,58,45.83333333333333,98,43.640350877192986,94,76.0,3,96.0,45,-20.0,4,59.85915492957746,54,32.81622911694511,1,27.042925812632355,94,119.71830985915491,54,65.63245823389022,98,54.08585162526471,94,orange
JB-11AJB-8UJB-34KJB-13CJB-4N,"11 J. Ayayi, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda, 4 A. Nelson",6,82:05,205,202,125,68,76,45,59.2,58,49,23,46.9,76,52,43,82.7,62,61,18,43,49,14,27,42,208,196,141,71,97,51,52.6,46,44,20,45.5,78,43,34,79.1,51,57,22,35,54,19,26,48,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,8 J. Usher,34 K. Kokila,13 X. Castaneda,4 A. Nelson,JB-11A,JB-8U,JB-34K,JB-13C,JB-4N,4925.0,98,98.53658536585364,72,94.23076923076924,30,4.305816135084427,53,99.8984771573604,67,101.36040609137056,22,-1.4619289340101602,43,68.29862050311063,79,61.28064032016008,65,7.017980182950552,62,136.59724100622125,79,122.56128064032016,34,14.035960365901104,62,blue
JB-3SJB-8UJB-34KJB-5BJB-13C,"3 M. Salash, 8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda",9,66:47,185,139,102,37,73,27,37.0,10,29,10,34.5,44,68,55,80.9,58,63,21,42,35,11,24,37,158,130,99,46,60,32,53.3,49,39,14,35.9,53,40,24,60.0,17,53,14,39,38,10,24,57,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,JB-3S,JB-8U,JB-34K,JB-5B,JB-13C,4007.0,96,75.13513513513513,29,82.27848101265823,55,-7.143345877523103,35,110.80608934364862,90,94.6343898178188,53,16.17169952582981,88,52.68344451182534,31,55.74614065180104,42,-3.062696139975692,39,105.36688902365069,31,111.49228130360208,57,-6.1253922799513845,39,blue
JB-3SJB-27PJB-30JJB-7CJB-5B,"3 M. Salash, 27 J. Pansa, 30 B. Jefferson, 7 M. Courby, 5 H. Benitez",14,55:49,123,125,85,48,55,33,60.0,63,30,15,50.0,80,21,14,66.7,27,43,9,34,38,8,14,30,138,111,83,37,53,25,47.2,31,30,12,40.0,67,38,25,65.8,23,37,8,29,18,7,14,20,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,27 J. Pansa,30 B. Jefferson,7 M. Courby,5 H. Benitez,JB-3S,JB-27P,JB-30J,JB-7C,JB-5B,3349.0,95,101.6260162601626,75,80.43478260869566,59,21.19123365146696,74,88.14571513884742,19,98.89519259480444,32,-10.749477455957006,17,66.3200339558574,75,55.65583634175692,41,10.66419761410048,73,132.6400679117148,75,111.31167268351383,58,21.32839522820096,73,blue
JB-11AJB-3SJB-8UJB-34KJB-13C,"11 J. Ayayi, 3 M. Salash, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda",25,50:24,123,126,77,45,53,35,66.0,77,24,10,41.7,65,35,26,74.3,40,34,6,28,30,12,10,29,117,101,68,35,36,22,61.1,71,32,13,40.6,70,21,18,85.7,71,23,4,19,27,4,22,35,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,3 M. Salash,8 J. Usher,34 K. Kokila,13 X. Castaneda,JB-11A,JB-3S,JB-8U,JB-34K,JB-13C,3024.0,93,102.4390243902439,77,86.32478632478633,46,16.11423806545757,68,97.61904761904762,59,92.85714285714286,64,4.761904761904759,64,68.18181818181817,78,65.38063179699638,76,2.80118638482179,53,136.36363636363637,78,130.76126359399277,23,5.60237276964358,53,blue
JB-8UJB-34KJB-5BJB-13CJB-4N,"8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda, 4 A. Nelson",14,36:09,88,83,52,25,32,19,59.4,60,20,6,30.0,32,36,27,75.0,43,32,12,20,13,6,12,24,93,69,58,25,29,18,62.1,73,29,7,24.1,15,20,12,60.0,17,27,10,17,20,2,15,30,JL Bourg-en-Bresse,Betclic Elite,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,4 A. Nelson,JB-8U,JB-34K,JB-5B,JB-13C,JB-4N,2169.0,87,94.31818181818184,66,74.19354838709677,73,20.12463343108506,72,97.37206085753805,57,102.9045643153527,17,-5.532503457814656,31,61.17334905660377,58,51.64670658682636,29,9.526642469777414,70,122.34669811320754,58,103.29341317365272,70,19.05328493955483,70,blue
JB-3SJB-8UJB-5BJB-13CJB-4N,"3 M. Salash, 8 J. Usher, 5 H. Benitez, 13 X. Castaneda, 4 A. Nelson",24,25:05,68,73,42,24,28,17,60.7,67,14,7,50.0,80,22,18,81.8,60,26,8,18,10,4,5,7,58,49,47,19,30,14,46.7,30,17,5,29.4,31,7,6,85.7,71,18,9,9,8,0,6,20,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,5 H. Benitez,13 X. Castaneda,4 A. Nelson,JB-3S,JB-8U,JB-5B,JB-13C,JB-4N,1505.0,75,107.35294117647058,84,84.48275862068965,50,22.87018255578093,76,108.43853820598008,87,92.49169435215948,65,15.946843853820596,88,70.62693498452013,82,48.92172523961661,21,21.70520974490352,90,141.25386996904027,82,97.84345047923324,78,43.41041948980704,90,blue
JB-11AJB-27PJB-10NJB-33PJB-4N,"11 J. Ayayi, 27 J. Pansa, 10 M. Ngouama, 33 B. Paul, 4 A. Nelson",0,21:09,56,36,32,12,23,11,47.8,29,9,1,11.1,5,16,11,68.8,31,22,7,15,12,4,12,12,53,36,37,14,24,10,41.7,17,13,4,30.8,33,6,4,66.7,26,13,4,9,11,7,6,15,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,27 J. Pansa,10 M. Ngouama,33 B. Paul,4 A. Nelson,JB-11A,JB-27P,JB-10N,JB-33P,JB-4N,1269.0,70,64.28571428571429,12,67.9245283018868,84,-3.6388140161725033,41,105.91016548463357,84,100.23640661938532,28,5.673758865248232,66,46.10655737704918,14,45.40867810292634,11,0.6978792741228403,48,92.21311475409836,14,90.81735620585268,88,1.395758548245681,48,blue
JB-3SJB-27PJB-8UJB-5BJB-13C,"3 M. Salash, 27 J. Pansa, 8 J. Usher, 5 H. Benitez, 13 X. Castaneda",-4,18:26,47,44,29,14,20,12,60.0,63,9,2,22.2,16,24,14,58.3,16,14,3,11,10,3,6,7,49,48,36,19,21,15,71.4,90,15,4,26.7,23,6,6,100.0,90,21,4,17,9,3,6,16,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,27 J. Pansa,8 J. Usher,5 H. Benitez,13 X. Castaneda,JB-3S,JB-27P,JB-8U,JB-5B,JB-13C,1106.0,59,93.61702127659576,64,97.95918367346938,23,-4.342162396873633,40,101.98915009041592,73,106.32911392405065,10,-4.339963833634712,34,55.61172901921132,40,62.11180124223602,67,-6.500072223024702,31,111.22345803842263,40,124.22360248447204,32,-13.000144446049404,31,blue
JB-11AJB-27PJB-8UJB-13CJB-4N,"11 J. Ayayi, 27 J. Pansa, 8 J. Usher, 13 X. Castaneda, 4 A. Nelson",12,18:14,49,53,35,19,19,12,63.2,72,16,7,43.8,69,8,8,100.0,90,12,6,6,11,3,4,13,40,41,22,14,16,11,68.8,86,6,3,50.0,84,13,10,76.9,47,9,1,8,10,2,4,8,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,27 J. Pansa,8 J. Usher,13 X. Castaneda,4 A. Nelson,JB-11A,JB-27P,JB-8U,JB-13C,JB-4N,1094.0,58,108.16326530612244,85,102.5,16,5.663265306122469,54,107.49542961608776,86,87.75137111517368,80,19.74405850091408,90,68.79543094496366,79,73.95382395382396,95,-5.158393008860301,34,137.5908618899273,79,147.9076479076479,4,-10.316786017720602,34,blue
JB-11AJB-3SJB-27PJB-8UJB-13C,"11 J. Ayayi, 3 M. Salash, 27 J. Pansa, 8 J. Usher, 13 X. Castaneda",6,12:49,40,25,24,10,14,7,50.0,34,10,3,30.0,32,3,2,66.7,27,16,7,9,4,3,6,3,30,19,18,7,10,7,70.0,88,8,0,0.0,1,5,5,100.0,90,7,1,6,3,3,6,9,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,3 M. Salash,27 J. Pansa,8 J. Usher,13 X. Castaneda,JB-11A,JB-3S,JB-27P,JB-8U,JB-13C,769.0,34,62.5,10,63.33333333333333,89,-0.8333333333333286,46,124.8374512353706,99,93.62808842652797,59,31.20936280884264,98,49.36808846761453,20,47.02970297029703,16,2.338385497317504,52,98.73617693522908,20,94.05940594059406,83,4.676770994635007,52,blue
JB-27PJB-7CJB-5BJB-33PJB-4N,"27 J. Pansa, 7 M. Courby, 5 H. Benitez, 33 B. Paul, 4 A. Nelson",-13,11:53,33,14,19,5,13,4,30.8,5,6,1,16.7,10,4,3,75.0,43,11,5,6,5,2,4,8,30,27,17,9,12,6,50.0,38,5,3,60.0,94,8,6,75.0,41,11,3,8,3,1,2,4,JL Bourg-en-Bresse,Betclic Elite,27 J. Pansa,7 M. Courby,5 H. Benitez,33 B. Paul,4 A. Nelson,JB-27P,JB-7C,JB-5B,JB-33P,JB-4N,713.0,25,42.42424242424242,0,90.0,37,-47.57575757575758,4,111.07994389901825,91,100.98176718092566,25,10.098176718092574,76,33.71868978805394,1,65.78947368421053,78,-32.07078389615659,3,67.43737957610789,1,131.57894736842107,21,-64.14156779231318,3,blue
CS-40CCS-14RCS-8HCS-2MCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 2 J. Morris, 13 L. Gaudoux",-22,57:52,132,125,92,49,54,33,61.1,67,38,16,42.1,66,16,11,68.8,31,34,8,26,34,10,17,27,141,147,99,53,54,36,66.7,82,45,17,37.8,60,28,24,85.7,71,47,15,32,32,10,18,21,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,2 J. Morris,13 L. Gaudoux,CS-40C,CS-14R,CS-8H,CS-2M,CS-13G,3472.0,95,94.6969696969697,66,104.25531914893618,13,-9.558349451966478,31,91.2442396313364,31,97.46543778801843,40,-6.221198156682021,29,63.105815831987066,65,66.02587136183975,78,-2.9200555298526822,39,126.21163166397412,65,132.0517427236795,21,-5.8401110597053645,39,blue
CS-4SCS-40CCS-21SCS-8HCS-13G,"4 Z. Sakic, 40 Z. Cuthbertson, 21 M. Stockton, 8 J. Hill, 13 L. Gaudoux",21,53:54,126,112,77,40,45,28,62.2,69,32,12,37.5,51,31,20,64.5,22,39,7,32,28,11,16,16,117,91,79,37,40,25,62.5,74,39,12,30.8,33,6,5,83.3,63,35,5,30,23,12,19,32,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,21 M. Stockton,8 J. Hill,13 L. Gaudoux,CS-4S,CS-40C,CS-21S,CS-8H,CS-13G,3234.0,94,88.88888888888889,56,77.77777777777779,63,11.1111111111111,62,93.5064935064935,38,86.82745825602969,83,6.679035250463812,68,61.7828773168579,60,55.73248407643312,42,6.050393240424782,59,123.5657546337158,60,111.46496815286623,57,12.100786480849564,59,blue
CS-4SCS-40CCS-14RCS-8HCS-2M,"4 Z. Sakic, 40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 2 J. Morris",-9,50:28,118,92,67,29,40,18,45.0,23,27,11,40.7,64,31,23,74.2,39,39,6,33,21,5,16,21,119,101,87,39,49,25,51.0,42,38,14,36.8,57,12,9,75.0,41,42,14,28,27,9,14,28,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,2 J. Morris,CS-4S,CS-40C,CS-14R,CS-8H,CS-2M,3028.0,93,77.96610169491525,35,84.87394957983193,49,-6.907847884916677,37,93.52708058124176,39,94.31968295904888,56,-0.7926023778071283,45,57.04365079365079,43,54.7247507585609,36,2.3189000350898894,52,114.08730158730158,43,109.4495015171218,63,4.637800070179779,52,blue
CS-4SCS-40CCS-14RCS-8HCS-6C,"4 Z. Sakic, 40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 6 Y. Choupas",2,39:01,87,92,63,35,39,26,66.7,80,24,9,37.5,51,19,13,68.4,31,26,5,21,24,4,9,15,91,90,63,32,30,16,53.3,49,33,16,48.5,80,14,10,71.4,33,27,8,19,28,4,6,17,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,6 Y. Choupas,CS-4S,CS-40C,CS-14R,CS-8H,CS-6C,2341.0,89,105.7471264367816,81,98.9010989010989,22,6.846027535682708,57,89.19265271251602,24,93.29346433148228,60,-4.100811618966247,34,64.46188340807176,70,65.06651243493349,75,-0.6046290268617298,43,128.9237668161435,70,130.13302486986697,24,-1.2092580537234596,43,blue
CS-4SCS-40CCS-21SCS-14RCS-8H,"4 Z. Sakic, 40 Z. Cuthbertson, 21 M. Stockton, 14 D. Ristic, 8 J. Hill",17,32:42,81,85,50,29,27,18,66.7,80,23,11,47.8,76,21,16,76.2,46,28,6,22,23,6,12,6,78,68,61,27,34,18,52.9,48,27,9,33.3,42,7,5,71.4,33,26,10,16,18,7,9,21,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,21 M. Stockton,14 D. Ristic,8 J. Hill,CS-4S,CS-40C,CS-21S,CS-14R,CS-8H,1962.0,85,104.93827160493828,81,87.17948717948718,45,17.758784425451083,70,99.08256880733946,64,95.41284403669724,48,3.6697247706422047,61,71.74206617150574,84,53.05867665418227,32,18.68338951732347,85,143.48413234301148,84,106.11735330836454,67,37.36677903464694,85,blue
CS-4SCS-40CCS-8HCS-6CCS-13G,"4 Z. Sakic, 40 Z. Cuthbertson, 8 J. Hill, 6 Y. Choupas, 13 L. Gaudoux",7,20:54,60,41,36,12,22,6,27.3,4,14,6,42.9,67,14,11,78.6,51,18,5,13,11,3,9,11,59,34,35,12,19,10,52.6,46,16,2,12.5,6,10,8,80.0,54,25,6,19,10,3,10,18,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,8 J. Hill,6 Y. Choupas,13 L. Gaudoux,CS-4S,CS-40C,CS-8H,CS-6C,CS-13G,1254.0,68,68.33333333333333,17,57.6271186440678,94,10.70621468926553,61,114.83253588516746,95,112.91866028708134,4,1.913875598086122,55,48.62428842504744,18,43.14720812182741,6,5.477080303220028,58,97.24857685009488,18,86.29441624365482,93,10.954160606440055,58,blue
CS-40CCS-14RCS-20NCS-2MCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 20 N. Nenadic, 2 J. Morris, 13 L. Gaudoux",-7,18:56,49,41,28,14,21,11,52.4,40,7,3,42.9,67,15,10,66.7,27,16,7,9,10,2,6,10,39,48,32,19,17,12,70.6,90,15,7,46.7,79,4,3,75.0,41,9,3,6,12,1,3,14,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,20 N. Nenadic,2 J. Morris,13 L. Gaudoux,CS-40C,CS-14R,CS-20N,CS-2M,CS-13G,1136.0,61,83.6734693877551,45,123.07692307692308,1,-39.403453689167975,9,103.52112676056338,78,82.3943661971831,90,21.126760563380277,92,59.2485549132948,53,71.09004739336493,90,-11.84149248007013,21,118.4971098265896,53,142.18009478672985,9,-23.68298496014026,21,blue
CS-40CCS-21SCS-14RCS-8HCS-13G,"40 Z. Cuthbertson, 21 M. Stockton, 14 D. Ristic, 8 J. Hill, 13 L. Gaudoux",-2,15:50,39,32,22,10,17,8,47.1,28,5,2,40.0,61,12,10,83.3,64,9,3,6,10,6,7,10,40,34,23,12,17,10,58.8,66,6,2,33.3,42,11,8,72.7,36,14,5,9,11,2,9,10,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,21 M. Stockton,14 D. Ristic,8 J. Hill,13 L. Gaudoux,CS-40C,CS-21S,CS-14R,CS-8H,CS-13G,950.0,50,82.05128205128204,41,85.0,49,-2.948717948717956,43,98.52631578947368,63,101.05263157894736,24,-2.526315789473685,39,58.65102639296187,51,61.06321839080459,64,-2.4121919978427258,41,117.30205278592372,51,122.1264367816092,35,-4.824383995685452,41,blue
CS-21SCS-14RCS-2MCS-6CCS-7C,"21 M. Stockton, 14 D. Ristic, 2 J. Morris, 6 Y. Choupas, 7 O. Cortale",7,15:36,33,39,24,14,15,9,60.0,63,9,5,55.6,88,7,6,85.7,69,13,2,11,9,1,1,6,36,32,27,12,16,9,56.3,59,11,3,27.3,24,8,5,62.5,20,12,5,7,10,1,1,7,Chalon Saone,Betclic Elite,21 M. Stockton,14 D. Ristic,2 J. Morris,6 Y. Choupas,7 O. Cortale,CS-21S,CS-14R,CS-2M,CS-6C,CS-7C,936.0,47,118.1818181818182,93,88.88888888888889,40,29.2929292929293,83,84.61538461538461,12,92.3076923076923,66,-7.692307692307693,25,72.00886262924668,87,52.424639580602886,31,19.584223048643796,86,144.01772525849336,87,104.84927916120576,68,39.16844609728759,86,blue
CS-40CCS-14RCS-8HCS-6CCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 6 Y. Choupas, 13 L. Gaudoux",5,15:28,36,33,24,14,18,11,61.1,67,6,3,50.0,80,3,2,66.7,27,12,4,8,10,4,7,8,40,28,25,10,9,4,44.4,24,16,6,37.5,58,2,2,100.0,90,9,3,6,6,3,7,7,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,6 Y. Choupas,13 L. Gaudoux,CS-40C,CS-14R,CS-8H,CS-6C,CS-13G,928.0,47,91.66666666666666,62,70.0,82,21.666666666666657,75,93.10344827586208,35,103.44827586206895,15,-10.34482758620689,19,65.16587677725119,71,54.09582689335395,35,11.070049883897234,74,130.33175355450237,71,108.1916537867079,64,22.140099767794467,74,blue
CS-14RCS-8HCS-2MCS-6CCS-13G,"14 D. Ristic, 8 J. Hill, 2 J. Morris, 6 Y. Choupas, 13 L. Gaudoux",12,14:33,40,38,25,12,12,6,50.0,34,13,6,46.2,75,9,8,88.9,75,12,4,8,9,1,6,7,37,26,23,9,12,6,50.0,38,11,3,27.3,24,6,5,83.3,63,14,5,9,6,2,6,9,Chalon Saone,Betclic Elite,14 D. Ristic,8 J. Hill,2 J. Morris,6 Y. Choupas,13 L. Gaudoux,CS-14R,CS-8H,CS-2M,CS-6C,CS-13G,873.0,43,95.0,68,70.27027027027027,80,24.729729729729726,79,109.9656357388316,90,101.71821305841924,21,8.247422680412356,74,65.60773480662984,73,50.70202808112324,26,14.905706725506596,79,131.21546961325967,73,101.40405616224648,73,29.811413451013195,79,blue
CS-40CCS-14RCS-20NCS-6CCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 20 N. Nenadic, 6 Y. Choupas, 13 L. Gaudoux",3,13:35,32,33,15,10,8,5,62.5,71,7,5,71.4,98,11,8,72.7,38,8,1,7,7,2,6,7,34,30,21,11,11,8,72.7,92,10,3,30.0,32,8,5,62.5,20,7,3,4,6,6,2,9,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,20 N. Nenadic,6 Y. Choupas,13 L. Gaudoux,CS-40C,CS-14R,CS-20N,CS-6C,CS-13G,815.0,39,103.125,78,88.23529411764706,41,14.889705882352942,66,94.23312883435584,42,100.12269938650309,29,-5.889570552147234,29,83.16532258064517,98,61.174551386623165,65,21.990771194022003,91,166.3306451612903,98,122.34910277324632,34,43.981542388044005,91,blue
CS-14RCS-20NCS-8HCS-2MCS-13G,"14 D. Ristic, 20 N. Nenadic, 8 J. Hill, 2 J. Morris, 13 L. Gaudoux",3,12:39,28,30,23,11,12,7,58.3,56,11,4,36.4,46,5,4,80.0,55,6,3,3,6,3,2,7,29,27,17,9,9,5,55.6,57,8,4,50.0,84,5,5,100.0,90,8,2,6,7,1,6,6,Chalon Saone,Betclic Elite,14 D. Ristic,20 N. Nenadic,8 J. Hill,2 J. Morris,13 L. Gaudoux,CS-14R,CS-20N,CS-8H,CS-2M,CS-13G,759.0,32,107.14285714285714,83,93.10344827586206,31,14.039408866995077,65,88.53754940711462,21,91.699604743083,68,-3.1620553359683754,38,59.523809523809526,53,70.3125,87,-10.788690476190474,24,119.04761904761904,53,140.625,12,-21.57738095238095,24,blue
CS-40CCS-20NCS-6CCS-7CCS-13G,"40 Z. Cuthbertson, 20 N. Nenadic, 6 Y. Choupas, 7 O. Cortale, 13 L. Gaudoux",-6,12:02,26,15,12,5,8,3,37.5,11,4,2,50.0,80,4,3,75.0,43,11,1,10,4,0,9,7,29,21,21,6,12,3,25.0,1,9,3,33.3,42,7,6,85.7,71,9,3,6,6,4,1,5,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,20 N. Nenadic,6 Y. Choupas,7 O. Cortale,13 L. Gaudoux,CS-40C,CS-20N,CS-6C,CS-7C,CS-13G,722.0,26,57.692307692307686,6,72.41379310344827,77,-14.721485411140584,24,86.42659279778394,17,96.398891966759,43,-9.972299168975056,20,54.50581395348837,38,43.6046511627907,7,10.901162790697668,73,109.01162790697674,38,87.2093023255814,92,21.802325581395337,73,blue
CS-4SCS-40CCS-21SCS-14RCS-6C,"4 Z. Sakic, 40 Z. Cuthbertson, 21 M. Stockton, 14 D. Ristic, 6 Y. Choupas",-5,10:48,21,17,16,6,8,4,50.0,34,8,2,25.0,22,4,3,75.0,43,8,1,7,1,0,0,4,25,22,17,8,8,4,50.0,38,9,4,44.4,76,3,2,66.7,26,11,3,8,8,0,2,3,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,21 M. Stockton,14 D. Ristic,6 Y. Choupas,CS-4S,CS-40C,CS-21S,CS-14R,CS-6C,648.0,12,80.95238095238095,40,88.0,43,-7.047619047619051,36,77.77777777777777,4,92.59259259259258,65,-14.81481481481481,11,47.86036036036035,18,60.043668122270745,60,-12.183307761910392,20,95.7207207207207,18,120.08733624454148,39,-24.366615523820784,20,blue
CS-4SCS-8HCS-2MCS-6CCS-7C,"4 Z. Sakic, 8 J. Hill, 2 J. Morris, 6 Y. Choupas, 7 O. Cortale",7,10:20,25,29,17,10,10,9,90.0,99,7,1,14.3,7,10,8,80.0,55,9,4,5,6,1,3,5,21,22,13,7,9,5,55.6,57,4,2,50.0,84,8,6,75.0,41,4,1,3,6,1,2,6,Chalon Saone,Betclic Elite,4 Z. Sakic,8 J. Hill,2 J. Morris,6 Y. Choupas,7 O. Cortale,CS-4S,CS-8H,CS-2M,CS-6C,CS-7C,620.0,4,116.0,91,104.76190476190476,12,11.238095238095212,63,96.77419354838707,53,81.29032258064517,93,15.483870967741922,87,67.7570093457944,78,66.5859564164649,80,1.171052929329505,49,135.5140186915888,78,133.1719128329298,19,2.3421058586590107,49,blue
CS-4SCS-40CCS-8HCS-2MCS-7C,"4 Z. Sakic, 40 Z. Cuthbertson, 8 J. Hill, 2 J. Morris, 7 O. Cortale",-5,10:14,23,13,12,4,9,3,33.3,7,3,1,33.3,39,4,4,100.0,90,12,4,8,2,0,8,5,24,18,17,5,8,3,37.5,12,9,2,22.2,13,6,6,100.0,90,5,4,1,2,4,1,3,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,8 J. Hill,2 J. Morris,7 O. Cortale,CS-4S,CS-40C,CS-8H,CS-2M,CS-7C,614.0,3,56.52173913043478,5,75.0,70,-18.47826086956522,18,89.90228013029316,26,93.81107491856676,58,-3.908794788273596,35,47.23837209302326,17,45.824847250509166,12,1.413524842514093,50,94.47674418604652,17,91.64969450101832,87,2.827049685028186,50,blue
CB-25NCB-2ICB-5CCB-11ACB-32V,"25 C. Ndow, 2 C. Melvin III, 5 T. Campbell, 11 G. Ayayi, 32 B. Vautier",13,132:30,319,296,217,111,133,79,59.4,60,84,32,38.1,55,53,42,79.2,52,89,29,60,71,17,42,61,313,283,201,103,114,72,63.2,75,87,31,35.6,50,55,46,83.6,67,96,31,65,64,27,52,69,Cholet Basket,Betclic Elite,25 C. Ndow,2 C. Melvin III,5 T. Campbell,11 G. Ayayi,32 B. Vautier,CB-25N,CB-2I,CB-5C,CB-11A,CB-32V,7950.0,100,92.78996865203762,62,90.41533546325878,36,2.37463318877883,49,96.30188679245283,50,94.49056603773585,54,1.811320754716988,54,61.58455392809587,59,62.83303730017762,69,-1.2484833720817503,42,123.16910785619174,59,125.66607460035524,30,-2.496966744163501,42,blue
CB-25NCB-2ICB-11ACB-32VCB-7S,"25 C. Ndow, 2 C. Melvin III, 11 G. Ayayi, 32 B. Vautier, 7 N. De Sousa",-7,42:39,111,86,70,34,46,28,60.9,67,24,6,25.0,22,24,12,50.0,9,45,16,29,28,7,14,26,104,93,66,28,31,14,45.2,26,35,14,40.0,67,27,23,85.2,68,26,9,17,22,6,11,24,Cholet Basket,Betclic Elite,25 C. Ndow,2 C. Melvin III,11 G. Ayayi,32 B. Vautier,7 N. De Sousa,CB-25N,CB-2I,CB-11A,CB-32V,CB-7S,2559.0,91,77.47747747747748,33,89.42307692307693,38,-11.945599445599456,29,104.10316529894487,79,97.53810082063306,39,6.565064478311825,68,53.37636544190665,33,59.70724191063175,59,-6.330876468725101,32,106.7527308838133,33,119.4144838212635,40,-12.661752937450204,32,blue
