id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",0,17:50,46,40,24,13,13,9,69.2,84,11,4,36.4,46,14,10,71.4,35,11,4,7,11,5,11,15,40,40,21,14,13,11,84.6,99,8,3,37.5,58,11,9,81.8,58,7,0,7,13,5,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1070.0,57,86.95652173913044,50,100.0,19,-13.043478260869565,27,103.17757009345794,77,89.7196261682243,75,13.45794392523365,85,66.3129973474801,74,77.39938080495357,97,-11.08638345747346,23,132.6259946949602,74,154.79876160990713,2,-22.17276691494692,23,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",7,17:43,47,38,30,14,22,11,50.0,34,8,3,37.5,51,13,7,53.8,12,17,8,9,10,4,7,11,40,31,21,9,12,5,41.7,17,9,4,44.4,76,14,9,64.3,23,9,3,6,8,3,7,11,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,1063.0,57,80.85106382978722,40,77.5,64,3.351063829787222,51,106.11476952022578,85,90.310442144873,74,15.804327375352784,87,53.191489361702125,33,57.06921944035346,49,-3.877730078651332,36,106.38297872340424,33,114.13843888070691,50,-7.755460157302664,36,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",11,17:42,39,42,23,13,15,8,53.3,42,8,5,62.5,95,11,11,100.0,90,15,1,14,12,1,5,13,42,31,29,9,19,8,42.1,19,10,1,10.0,4,16,12,75.0,41,13,5,8,10,3,2,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,1062.0,56,107.6923076923077,84,73.80952380952381,74,33.88278388278388,87,88.13559322033899,19,94.91525423728814,51,-6.779661016949149,28,75.43103448275862,91,43.00776914539401,5,32.42326533736461,97,150.86206896551724,91,86.01553829078802,94,64.84653067472922,97,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-7,17:09,48,33,33,12,19,11,57.9,54,14,1,7.1,3,11,8,72.7,38,14,6,8,9,3,3,6,35,40,26,16,16,11,68.8,86,10,5,50.0,84,4,3,75.0,41,14,3,11,10,0,4,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1029.0,54,68.75,18,114.28571428571428,5,-45.53571428571428,6,111.9533527696793,92,81.6326530612245,93,30.3206997084548,97,43.604651162790695,10,72.04610951008645,93,-28.44145834729576,4,87.20930232558139,10,144.0922190201729,6,-56.88291669459152,4,orange
LM-12HLM-34DLM-35TLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 9 L. Delaunay",-3,16:42,44,27,28,11,11,8,72.7,91,17,3,17.6,11,2,2,100.0,90,15,5,10,6,4,8,9,40,30,27,10,16,7,43.8,23,11,3,27.3,24,9,7,77.8,49,13,6,7,8,6,6,6,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-44N,LM-9D,1002.0,51,61.36363636363637,10,75.0,70,-13.636363636363631,26,105.38922155688624,82,95.80838323353294,46,9.58083832335329,76,46.74515235457064,15,48.44961240310077,19,-1.7044600485301302,42,93.49030470914128,15,96.89922480620154,80,-3.4089200970602604,42,orange
LM-12HLM-34DLM-35TLM-15YLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan",4,15:40,43,33,24,10,16,8,50.0,34,8,2,25.0,22,15,11,73.3,39,20,6,14,9,2,5,5,40,29,28,10,17,8,47.1,31,11,2,18.2,9,8,7,87.5,74,12,2,10,10,5,3,15,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-15Y,LM-2B,940.0,48,76.74418604651163,31,72.5,76,4.244186046511629,53,109.78723404255318,89,102.12765957446808,19,7.659574468085097,72,53.92156862745098,36,46.00253807106599,13,7.919030556384989,65,107.84313725490196,36,92.00507614213198,86,15.838061112769978,65,orange
LM-12HLM-35TLM-1NLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",-2,15:02,38,34,29,12,16,7,43.8,21,13,5,38.5,56,8,5,62.5,20,14,6,8,11,2,3,6,35,36,25,14,17,12,70.6,90,8,2,25.0,19,8,6,75.0,41,15,4,11,11,1,3,6,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-1N,LM-93P,LM-2B,902.0,45,89.47368421052632,58,102.85714285714285,15,-13.383458646616532,26,101.10864745011088,70,93.12638580931264,61,7.982261640798228,73,52.27552275522754,29,63.11360448807854,71,-10.838081732851002,24,104.55104551045508,29,126.22720897615709,28,-21.676163465702004,24,orange
LM-12HLM-34DLM-35TLM-1NLM-93P,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda",12,13:46,39,32,25,10,9,3,33.3,7,16,7,43.8,69,5,5,100.0,90,14,3,11,9,3,4,7,32,20,21,8,13,4,30.8,4,8,4,50.0,84,4,0,0.0,1,12,3,9,6,2,4,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,1 A. N'Doye,93 N. Penda,LM-12H,LM-34D,LM-35T,LM-1N,LM-93P,826.0,39,82.05128205128204,41,62.5,90,19.551282051282044,71,113.31719128329298,93,92.97820823244552,63,20.33898305084746,92,58.82352941176471,51,43.93673110720562,8,14.886798304559086,78,117.64705882352942,51,87.87346221441125,91,29.77359660911817,78,orange
LM-12HLM-34DLM-35TLM-93PLM-5N,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 5 M. Ngouama",7,12:20,30,32,22,11,10,7,70.0,85,12,4,33.3,39,6,6,100.0,90,7,2,5,7,5,3,8,30,25,17,8,10,6,60.0,69,7,2,28.6,28,11,7,63.6,21,7,2,5,3,1,5,3,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,5 M. Ngouama,LM-12H,LM-34D,LM-35T,LM-93P,LM-5N,740.0,30,106.66666666666669,82,83.33333333333334,54,23.33333333333333,78,97.2972972972973,56,97.2972972972973,41,0.0,49,64.93506493506493,71,57.23443223443224,51,7.700632700632696,65,129.87012987012986,71,114.46886446886448,48,15.401265401265391,65,orange
LM-34DLM-35TLM-1NLM-93PLM-2B,"34 D. DiLeo, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",12,12:18,31,31,19,12,11,10,90.9,100,8,2,25.0,22,5,5,100.0,90,10,2,8,10,0,4,9,30,19,19,6,12,4,33.3,7,7,2,28.6,28,6,5,83.3,63,6,4,2,4,3,1,6,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-34D,LM-35T,LM-1N,LM-93P,LM-2B,738.0,30,100.0,73,63.33333333333333,89,36.66666666666667,90,100.8130081300813,70,97.5609756097561,39,3.2520325203252014,59,73.11320754716981,87,43.90018484288355,7,29.21302270428626,95,146.2264150943396,87,87.8003696857671,92,58.42604540857252,95,orange
LM-34DLM-15YLM-44NLM-2BLM-9D,"34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",-4,12:13,31,33,19,10,11,7,63.6,73,8,3,37.5,51,15,10,66.7,27,7,5,2,8,3,5,7,31,37,20,13,12,8,66.7,82,8,5,62.5,96,7,6,85.7,71,7,2,5,10,5,4,7,Le Mans,Betclic Elite,34 D. DiLeo,15 W. Yeguete,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-15Y,LM-44N,LM-2B,LM-9D,733.0,28,106.4516129032258,82,119.35483870967742,2,-12.90322580645163,27,101.5006821282401,71,101.5006821282401,22,0.0,49,64.453125,70,80.15597920277297,98,-15.702854202772969,14,128.90625,70,160.31195840554594,1,-31.405708405545937,14,orange
LM-12HLM-34DLM-1NLM-15YLM-44N,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 44 W. Narace",-3,12:06,25,22,14,7,10,5,50.0,34,4,2,50.0,80,9,6,66.7,27,4,0,4,7,2,4,10,31,25,18,7,12,5,41.7,17,6,2,33.3,42,10,9,90.0,77,8,4,4,7,1,5,6,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,44 W. Narace,LM-12H,LM-34D,LM-1N,LM-15Y,LM-44N,726.0,27,88.0,55,80.64516129032258,57,7.354838709677423,57,82.64462809917356,9,102.4793388429752,18,-19.83471074380165,5,61.24721603563474,59,55.80357142857143,42,5.443644607063312,57,122.49443207126949,59,111.60714285714286,57,10.887289214126625,57,orange
LM-34DLM-35TLM-15YLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan, 9 L. Delaunay",11,11:46,30,25,19,9,16,8,50.0,34,3,1,33.3,39,7,6,85.7,69,8,4,4,5,5,4,4,27,14,13,6,8,5,62.5,74,5,1,20.0,10,2,1,50.0,10,9,2,7,3,3,9,7,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-15Y,LM-2B,LM-9D,706.0,23,83.33333333333334,44,51.85185185185185,96,31.48148148148149,85,101.9830028328612,73,91.78470254957509,67,10.198300283286116,77,56.61231884057971,42,50.43227665706051,24,6.180042183519198,59,113.22463768115942,42,100.86455331412104,75,12.360084367038397,59,orange
LM-34DLM-35TLM-1NLM-15YLM-2B,"34 D. DiLeo, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 2 T. Buchanan",-13,11:04,26,14,16,6,9,6,66.7,80,7,0,0.0,1,2,2,100.0,90,6,0,6,4,0,5,3,25,27,21,11,13,7,53.8,51,8,4,50.0,84,1,1,100.0,90,9,2,7,7,3,2,6,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,2 T. Buchanan,LM-34D,LM-35T,LM-1N,LM-15Y,LM-2B,664.0,16,53.84615384615385,3,108.0,10,-54.15384615384615,3,93.97590361445783,41,90.36144578313254,74,3.614457831325296,60,41.46919431279621,5,62.96641791044776,70,-21.497223597651548,9,82.93838862559242,5,125.93283582089552,29,-42.994447195303096,9,orange
LM-12HLM-35TLM-15YLM-93PLM-9D,"12 T. Hudgins, 35 T. Thomas, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",4,10:51,20,27,13,10,10,7,70.0,85,3,3,100.0,100,5,4,80.0,55,8,0,8,10,1,4,2,23,23,16,8,8,3,37.5,12,8,5,62.5,96,2,2,100.0,90,2,0,2,6,1,2,3,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-35T,LM-15Y,LM-93P,LM-9D,651.0,13,135.0,98,100.0,19,35.0,87,73.73271889400921,2,84.79262672811059,86,-11.05990783410138,15,88.81578947368422,98,68.12796208530806,83,20.687827388376164,89,177.63157894736844,98,136.2559241706161,16,41.37565477675233,89,orange
LM-12HLM-35TLM-44NLM-93PLM-9D,"12 T. Hudgins, 35 T. Thomas, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",11,10:48,28,33,19,11,10,6,60.0,63,9,5,55.6,88,6,6,100.0,90,11,4,7,9,1,3,4,25,22,17,7,8,4,50.0,38,9,3,33.3,42,6,5,83.3,63,3,1,2,4,2,3,7,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-35T,LM-44N,LM-93P,LM-9D,648.0,12,117.85714285714286,92,88.0,43,29.85714285714286,83,103.7037037037037,79,92.59259259259258,65,11.111111111111114,79,76.24768946395564,93,56.0081466395112,43,20.239542824444435,88,152.49537892791128,93,112.0162932790224,56,40.47908564888887,88,orange
LM-12HLM-1NLM-15YLM-44NLM-93P,"12 T. Hudgins, 1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda",3,10:13,27,17,17,6,8,3,37.5,11,9,3,33.3,39,2,2,100.0,90,11,2,9,4,2,4,4,21,14,14,6,8,4,50.0,38,6,2,33.3,42,0,0,0.0,1,8,0,8,4,2,2,4,Le Mans,Betclic Elite,12 T. Hudgins,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,LM-12H,LM-1N,LM-15Y,LM-44N,LM-93P,613.0,2,62.96296296296296,11,66.66666666666666,85,-3.7037037037036953,40,105.70962479608482,83,82.21859706362153,90,23.49102773246329,94,47.53914988814318,17,50.0,23,-2.4608501118568213,40,95.07829977628636,17,100.0,76,-4.921700223713643,40,orange
LM-12HLM-34DLM-35TLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan",-3,10:01,30,24,21,8,13,5,38.5,13,8,3,37.5,51,5,5,100.0,90,9,3,6,5,4,3,7,27,27,15,10,11,9,81.8,97,4,1,25.0,19,7,6,85.7,71,8,0,8,6,2,5,5,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-93P,LM-2B,601.0,0,80.0,39,100.0,19,-20.0,18,119.80033277870216,97,107.82029950083196,7,11.980033277870206,82,51.72413793103448,27,74.66814159292035,95,-22.944003661885866,7,103.44827586206895,27,149.3362831858407,4,-45.88800732377173,7,orange
