id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",10,14:27,31,34,23,14,11,9,81.8,97,12,5,41.7,66,3,1,33.3,6,12,1,11,10,2,3,4,35,24,25,9,16,7,43.8,23,9,2,22.2,12,6,4,66.7,25,12,4,8,6,2,5,5,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,867.0,45,109.6774193548387,85,68.57142857142857,85,41.105990783410135,96,85.81314878892734,12,96.88581314878893,43,-11.07266435986159,18,69.90131578947368,81,43.41534008683068,92,26.485975702643003,95,139.80263157894737,81,86.83068017366136,92,0 days 00:14:27,52.971951405286006,95,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",8,13:48,32,33,18,10,13,7,53.8,47,5,3,60.0,93,10,10,100.0,90,11,1,10,9,0,4,9,31,25,22,8,13,7,53.8,52,9,1,11.1,3,11,8,72.7,36,9,3,6,8,2,1,9,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,828.0,41,103.125,80,80.64516129032258,58,22.479838709677423,76,92.7536231884058,33,89.85507246376811,75,2.898550724637687,59,73.66071428571429,88,46.57228017883755,85,27.08843410687674,96,147.32142857142858,88,93.1445603576751,85,0 days 00:13:48,54.17686821375348,96,orange
LM-12HLM-34DLM-35TLM-15YLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan",11,12:56,37,29,20,9,14,7,50.0,36,6,2,33.3,42,13,9,69.2,35,18,4,14,8,2,4,3,34,18,24,7,15,6,40.0,17,9,1,11.1,3,4,3,75.0,43,11,2,9,6,4,3,14,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-15Y,LM-2B,776.0,36,78.37837837837837,37,52.94117647058824,97,25.437201907790133,82,114.43298969072164,94,105.15463917525773,15,9.278350515463913,78,56.37636080870918,43,34.93788819875776,98,21.43847260995142,91,112.75272161741836,43,69.87577639751552,98,0 days 00:12:56,42.87694521990284,91,orange
LM-12HLM-35TLM-1NLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",1,12:32,32,29,25,10,15,6,40.0,16,10,4,40.0,62,8,5,62.5,23,12,5,7,9,2,2,3,29,28,21,12,14,10,71.4,91,7,2,28.6,26,4,2,50.0,10,13,3,10,8,1,3,6,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-1N,LM-93P,LM-2B,752.0,33,90.625,62,96.55172413793103,23,-5.926724137931032,38,102.12765957446808,75,92.55319148936171,65,9.574468085106375,79,50.84151472650772,27,61.511423550087876,35,-10.669908823580158,27,101.68302945301544,27,123.02284710017575,35,0 days 00:12:32,-21.339817647160316,27,orange
LM-12HLM-34DLM-35TLM-93PLM-5N,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 5 M. Ngouama",7,12:20,30,32,22,11,10,7,70.0,87,12,4,33.3,42,6,6,100.0,90,7,2,5,7,5,3,8,30,25,17,8,10,6,60.0,70,7,2,28.6,26,11,7,63.6,21,7,2,5,3,1,5,3,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,5 M. Ngouama,LM-12H,LM-34D,LM-35T,LM-93P,LM-5N,740.0,31,106.66666666666667,82,83.33333333333334,52,23.33333333333333,79,97.2972972972973,58,97.2972972972973,42,0.0,50,64.93506493506493,73,57.234432234432234,50,7.700632700632696,66,129.87012987012986,73,114.46886446886447,50,0 days 00:12:20,15.401265401265391,66,orange
LM-12HLM-34DLM-35TLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 9 L. Delaunay",-5,12:11,31,16,20,7,8,5,62.5,72,12,2,16.7,12,0,0,0.0,1,12,3,9,5,3,6,7,31,21,21,6,12,4,33.3,6,9,2,22.2,12,9,7,77.8,51,11,5,6,5,4,4,2,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-44N,LM-9D,731.0,28,51.61290322580645,2,67.74193548387096,87,-16.129032258064512,25,101.77838577291382,74,101.77838577291382,21,0.0,50,40.0,5,42.06730769230769,94,-2.0673076923076934,45,80.0,5,84.13461538461539,94,0 days 00:12:11,-4.134615384615387,45,orange
LM-12HLM-35TLM-1NLM-44NLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 44 W. Narace, 93 N. Penda",0,12:04,22,19,13,7,5,4,80.0,96,8,3,37.5,55,4,2,50.0,12,9,1,8,4,0,4,5,27,19,16,6,14,5,35.7,9,2,1,50.0,84,8,6,75.0,43,6,2,4,5,2,3,6,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,44 W. Narace,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-44N,LM-93P,724.0,27,86.36363636363636,50,70.37037037037037,81,15.993265993265993,68,72.92817679558011,2,89.50276243093923,75,-16.574585635359114,8,64.36314363143632,72,48.66803278688525,80,15.695110844551067,83,128.72628726287263,72,97.3360655737705,80,0 days 00:12:04,31.390221689102134,83,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",4,11:01,25,22,19,9,13,6,46.2,27,6,3,50.0,80,4,1,25.0,4,9,5,4,5,3,3,6,24,18,12,6,6,3,50.0,39,6,3,50.0,84,7,3,42.9,6,4,2,2,6,1,4,3,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,661.0,16,88.0,56,75.0,71,13.0,66,90.77155824508321,25,87.14069591527988,81,3.6308623298033353,61,52.98651252408477,34,59.6816976127321,41,-6.695185088647328,34,105.97302504816955,34,119.3633952254642,41,0 days 00:11:01,-13.390370177294656,34,orange
LM-34DLM-35TLM-15YLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan, 9 L. Delaunay",11,10:16,26,23,17,8,14,7,50.0,36,3,1,33.3,42,7,6,85.7,71,8,4,4,5,4,3,3,22,12,12,5,7,4,57.1,63,5,1,20.0,8,2,1,50.0,10,8,2,6,3,2,7,6,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-15Y,LM-2B,LM-9D,616.0,4,88.46153846153845,57,54.54545454545454,96,33.91608391608391,90,101.2987012987013,73,85.71428571428571,87,15.584415584415595,88,57.27091633466136,46,46.58385093167702,85,10.687065402984338,73,114.54183266932272,46,93.16770186335404,85,0 days 00:10:16,21.374130805968676,73,orange
JB-3SJB-8UJB-34KJB-5BJB-13C,"3 M. Salash, 8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda",6,63:21,175,128,98,36,71,26,36.6,11,27,10,37.0,53,58,46,79.3,55,60,21,39,33,11,24,34,148,122,93,44,57,31,54.4,55,36,13,36.1,49,36,21,58.3,16,51,13,38,35,10,23,50,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,JB-3S,JB-8U,JB-34K,JB-5B,JB-13C,3801.0,97,73.14285714285714,27,82.43243243243244,55,-9.289575289575296,33,110.49723756906077,90,93.44909234411996,61,17.04814522494081,89,51.81347150259068,31,56.04557148107313,56,-4.232099978482452,40,103.62694300518136,31,112.09114296214626,56,0 days 01:03:21,-8.464199956964904,40,blue
