id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_equipe_%,centile_True_Shooting_equipe_%,True_Shooting_opp_%,centile_True_Shooting_opp_%,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",10.0,14:27,31.0,34.0,23.0,14.0,11.0,9.0,81.8,96.0,12.0,5.0,41.7,66.0,3.0,1.0,33.3,5.0,12.0,1.0,11.0,10.0,2.0,3.0,4.0,35.0,24.0,25.0,9.0,16.0,7.0,43.8,23.0,9.0,2.0,22.2,11.0,6.0,4.0,66.7,24.0,12.0,4.0,8.0,6.0,2.0,5.0,5.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,867.0,44.0,109.6774193548387,83.0,68.57142857142857,86.0,41.105990783410135,95.0,85.81314878892734,18.0,96.88581314878893,37.0,-11.07266435986159,18.0,69.90131578947368,82.0,43.41534008683068,7.0,26.485975702643003,95.0,139.80263157894737,82.0,86.83068017366136,92.0,52.971951405286006,95.0,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",8.0,13:48,32.0,33.0,18.0,10.0,13.0,7.0,53.8,46.0,5.0,3.0,60.0,92.0,10.0,10.0,100.0,88.0,11.0,1.0,10.0,9.0,0.0,4.0,9.0,31.0,25.0,22.0,8.0,13.0,7.0,53.8,51.0,9.0,1.0,11.1,3.0,11.0,8.0,72.7,35.0,9.0,3.0,6.0,8.0,2.0,1.0,9.0,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,828.0,39.0,103.125,77.0,80.64516129032258,61.0,22.479838709677423,77.0,92.7536231884058,40.0,89.85507246376811,66.0,2.898550724637687,61.0,73.66071428571429,88.0,46.57228017883755,13.0,27.08843410687674,96.0,147.32142857142858,88.0,93.1445603576751,86.0,54.17686821375348,96.0,orange
LM-12HLM-35TLM-1NLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",1.0,12:32,32.0,29.0,25.0,10.0,15.0,6.0,40.0,16.0,10.0,4.0,40.0,63.0,8.0,5.0,62.5,22.0,12.0,5.0,7.0,9.0,2.0,2.0,3.0,29.0,28.0,21.0,12.0,14.0,10.0,71.4,91.0,7.0,2.0,28.6,25.0,4.0,2.0,50.0,10.0,13.0,3.0,10.0,8.0,1.0,3.0,6.0,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-1N,LM-93P,LM-2B,752.0,31.0,90.625,58.0,96.55172413793105,27.0,-5.926724137931032,39.0,102.12765957446808,77.0,92.55319148936172,57.0,9.574468085106377,80.0,50.84151472650772,28.0,61.51142355008788,64.0,-10.669908823580158,28.0,101.68302945301544,28.0,123.02284710017577,35.0,-21.33981764716032,28.0,orange
LM-12HLM-34DLM-35TLM-93PLM-5N,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 5 M. Ngouama",7.0,12:20,30.0,32.0,22.0,11.0,10.0,7.0,70.0,87.0,12.0,4.0,33.3,42.0,6.0,6.0,100.0,88.0,7.0,2.0,5.0,7.0,5.0,3.0,8.0,30.0,25.0,17.0,8.0,10.0,6.0,60.0,68.0,7.0,2.0,28.6,25.0,11.0,7.0,63.6,20.0,7.0,2.0,5.0,3.0,1.0,5.0,3.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,5 M. Ngouama,LM-12H,LM-34D,LM-35T,LM-93P,LM-5N,740.0,29.0,106.66666666666669,80.0,83.33333333333334,55.0,23.33333333333333,80.0,97.2972972972973,62.0,97.2972972972973,35.0,0.0,50.0,64.93506493506493,74.0,57.23443223443224,48.0,7.700632700632696,68.0,129.87012987012986,74.0,114.46886446886448,51.0,15.401265401265391,68.0,orange
LM-12HLM-35TLM-1NLM-44NLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 44 W. Narace, 93 N. Penda",0.0,12:04,22.0,19.0,13.0,7.0,5.0,4.0,80.0,96.0,8.0,3.0,37.5,55.0,4.0,2.0,50.0,12.0,9.0,1.0,8.0,4.0,0.0,4.0,5.0,27.0,19.0,16.0,6.0,14.0,5.0,35.7,11.0,2.0,1.0,50.0,83.0,8.0,6.0,75.0,42.0,6.0,2.0,4.0,5.0,2.0,3.0,6.0,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,44 W. Narace,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-44N,LM-93P,724.0,26.0,86.36363636363636,48.0,70.37037037037037,82.0,15.993265993265991,70.0,72.92817679558011,3.0,89.50276243093923,67.0,-16.574585635359114,7.0,64.36314363143632,73.0,48.66803278688525,19.0,15.695110844551069,83.0,128.72628726287263,73.0,97.3360655737705,80.0,31.39022168910213,83.0,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",4.0,11:01,25.0,22.0,19.0,9.0,13.0,6.0,46.2,29.0,6.0,3.0,50.0,80.0,4.0,1.0,25.0,2.0,9.0,5.0,4.0,5.0,3.0,3.0,6.0,24.0,18.0,12.0,6.0,6.0,3.0,50.0,39.0,6.0,3.0,50.0,83.0,7.0,3.0,42.9,7.0,4.0,2.0,2.0,6.0,1.0,4.0,3.0,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,661.0,16.0,88.0,55.0,75.0,72.0,13.0,65.0,90.7715582450832,32.0,87.14069591527988,75.0,3.6308623298033353,65.0,52.98651252408477,35.0,59.6816976127321,58.0,-6.695185088647328,36.0,105.97302504816956,35.0,119.3633952254642,41.0,-13.390370177294656,36.0,orange
LM-12HLM-34DLM-35TLM-15YLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan",5.0,11:01,29.0,21.0,17.0,8.0,12.0,6.0,50.0,38.0,5.0,2.0,40.0,63.0,6.0,3.0,50.0,12.0,13.0,3.0,10.0,6.0,2.0,3.0,3.0,28.0,16.0,20.0,6.0,14.0,5.0,35.7,11.0,6.0,1.0,16.7,5.0,4.0,3.0,75.0,42.0,9.0,2.0,7.0,6.0,3.0,3.0,9.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-15Y,LM-2B,661.0,16.0,72.41379310344827,27.0,57.14285714285714,95.0,15.270935960591132,69.0,105.29500756429653,84.0,101.6641452344932,17.0,3.630862329803321,64.0,53.462321792260695,37.0,36.764705882352935,2.0,16.69761590990776,84.0,106.9246435845214,37.0,73.52941176470587,97.0,33.39523181981552,84.0,orange
JB-3SJB-8UJB-34KJB-5BJB-13C,"3 M. Salash, 8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda",6.0,63:21,175.0,128.0,98.0,36.0,71.0,26.0,36.6,11.0,27.0,10.0,37.0,53.0,58.0,46.0,79.3,54.0,60.0,21.0,39.0,33.0,11.0,24.0,34.0,148.0,122.0,93.0,44.0,57.0,31.0,54.4,54.0,36.0,13.0,36.1,50.0,36.0,21.0,58.3,15.0,51.0,13.0,38.0,35.0,10.0,23.0,50.0,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,JB-3S,JB-8U,JB-34K,JB-5B,JB-13C,3801.0,97.0,73.14285714285714,27.0,82.43243243243244,57.0,-9.289575289575296,34.0,110.49723756906076,91.0,93.44909234411996,53.0,17.04814522494081,90.0,51.81347150259068,32.0,56.04557148107313,42.0,-4.232099978482452,42.0,103.62694300518136,32.0,112.09114296214626,57.0,-8.464199956964904,42.0,blue
JB-11AJB-3SJB-8UJB-34KJB-13C,"11 J. Ayayi, 3 M. Salash, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda",15.0,39:50,95.0,96.0,59.0,34.0,41.0,27.0,65.9,79.0,18.0,7.0,38.9,60.0,27.0,21.0,77.8,52.0,27.0,4.0,23.0,25.0,8.0,8.0,21.0,89.0,81.0,51.0,28.0,26.0,17.0,65.4,80.0,25.0,11.0,44.0,74.0,17.0,14.0,82.4,61.0,18.0,2.0,16.0,22.0,3.0,18.0,29.0,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,3 M. Salash,8 J. Usher,34 K. Kokila,13 X. Castaneda,JB-11A,JB-3S,JB-8U,JB-34K,JB-13C,2390.0,91.0,101.05263157894736,75.0,91.01123595505618,40.0,10.04139562389119,61.0,95.39748953974896,55.0,89.3723849372385,68.0,6.025104602510453,71.0,67.72009029345372,78.0,69.25444596443228,84.0,-1.534355670978556,47.0,135.44018058690745,78.0,138.50889192886456,15.0,-3.068711341957112,47.0,blue
JB-11AJB-8UJB-34KJB-13CJB-4N,"11 J. Ayayi, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda, 4 A. Nelson",3.0,34:44,89.0,86.0,57.0,30.0,33.0,20.0,60.6,64.0,24.0,10.0,41.7,66.0,23.0,16.0,69.6,35.0,28.0,10.0,18.0,22.0,5.0,7.0,24.0,86.0,83.0,58.0,29.0,37.0,20.0,54.1,54.0,21.0,9.0,42.9,71.0,23.0,16.0,69.6,28.0,24.0,9.0,15.0,24.0,2.0,8.0,19.0,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,8 J. Usher,34 K. Kokila,13 X. Castaneda,4 A. Nelson,JB-11A,JB-8U,JB-34K,JB-13C,JB-4N,2084.0,88.0,96.62921348314607,70.0,96.51162790697676,28.0,0.1175855761693185,50.0,102.49520153550864,78.0,99.04030710172744,28.0,3.4548944337811776,63.0,64.06436233611443,71.0,60.921902524955954,62.0,3.1424598111584743,55.0,128.12872467222886,71.0,121.84380504991192,37.0,6.284919622316949,55.0,blue
