id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-35TLM-1NLM-93P,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda",17,20:46,54,54,36,18,13,5,38.5,12,23,13,56.5,90,5,5,100.0,90,15,3,12,16,6,6,13,52,37,31,15,19,9,47.4,27,12,6,50.0,83,6,1,16.7,2,17,5,12,10,4,8,10,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,1 A. N'Doye,93 N. Penda,LM-12H,LM-34D,LM-35T,LM-1N,LM-93P,1246.0,65,100.0,74,71.15384615384616,80,28.84615384615384,84,104.01284109149277,77,100.16051364365971,29,3.852327447833062,62,70.6806282722513,84,54.99405469678954,62,15.686573575461757,82,141.3612565445026,84,109.98810939357908,62,0 days 00:20:46,31.373147150923515,82,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-5,19:39,44,36,33,16,25,14,56.0,47,8,2,25.0,22,5,2,40.0,5,11,4,7,11,5,5,8,45,41,30,16,16,12,75.0,92,14,4,28.6,28,11,5,45.5,6,17,5,12,6,4,9,8,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1179.0,61,81.81818181818183,41,91.11111111111111,39,-9.292929292929287,33,89.56743002544529,26,91.6030534351145,68,-2.0356234096692134,42,51.13636363636363,24,58.840413318025256,48,-7.704049681661623,31,102.27272727272727,24,117.68082663605051,48,0 days 00:19:39,-15.408099363323245,31,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",13,18:38,45,46,33,17,19,7,36.8,9,14,10,71.4,98,2,2,100.0,90,16,6,10,13,4,7,7,46,33,30,12,20,8,40.0,13,10,4,40.0,64,6,5,83.3,64,15,6,9,4,4,9,5,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,1118.0,59,102.22222222222221,77,71.73913043478261,79,30.483091787439605,85,96.6010733452594,52,98.74776386404294,33,-2.1466905187835437,42,67.8866587957497,77,50.55147058823529,75,17.335188207514406,85,135.7733175914994,77,101.10294117647058,75,0 days 00:18:38,34.67037641502881,85,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",0,17:50,46,40,24,13,13,9,69.2,81,11,4,36.4,46,14,10,71.4,36,11,4,7,11,5,11,15,40,40,21,14,13,11,84.6,98,8,3,37.5,56,11,9,81.8,60,7,0,7,13,5,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1070.0,55,86.95652173913044,51,100.0,22,-13.043478260869563,28,103.17757009345794,76,89.7196261682243,76,13.45794392523365,84,66.3129973474801,73,77.39938080495357,3,-11.08638345747346,25,132.6259946949602,73,154.79876160990713,3,0 days 00:17:50,-22.17276691494692,25,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",7,17:43,47,38,30,14,22,11,50.0,33,8,3,37.5,51,13,7,53.8,13,17,8,9,10,4,7,11,40,31,21,9,12,5,41.7,15,9,4,44.4,74,14,9,64.3,23,9,3,6,8,3,7,11,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,1063.0,55,80.85106382978722,39,77.5,66,3.351063829787222,53,106.11476952022578,84,90.310442144873,73,15.804327375352784,86,53.191489361702125,31,57.06921944035346,55,-3.8777300786513322,40,106.38297872340425,31,114.13843888070691,55,0 days 00:17:43,-7.7554601573026645,40,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",11,17:42,39,42,23,13,15,8,53.3,41,8,5,62.5,95,11,11,100.0,90,15,1,14,12,1,5,13,42,31,29,9,19,8,42.1,17,10,1,10.0,4,16,12,75.0,42,13,5,8,10,3,2,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,1062.0,54,107.6923076923077,84,73.80952380952381,75,33.88278388278388,88,88.13559322033899,19,94.91525423728814,51,-6.779661016949149,29,75.43103448275862,92,43.00776914539401,94,32.42326533736461,97,150.86206896551724,92,86.01553829078802,94,0 days 00:17:42,64.84653067472922,97,orange
LM-35TLM-44NLM-93PLM-2BLM-9D,"35 T. Thomas, 44 W. Narace, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",2,17:23,40,30,30,12,17,12,70.6,85,13,0,0.0,1,7,6,85.7,69,25,9,16,6,1,5,11,39,28,28,7,17,4,23.5,1,11,3,27.3,25,16,11,68.8,30,11,6,5,3,2,1,4,Le Mans,Betclic Elite,35 T. Thomas,44 W. Narace,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-35T,LM-44N,LM-93P,LM-2B,LM-9D,1043.0,53,75.0,27,71.7948717948718,79,3.2051282051282044,53,92.04218600191756,34,89.74113135186961,75,2.301054650047945,57,45.34461910519952,11,39.95433789954338,96,5.390281205656137,59,90.68923821039904,11,79.90867579908677,96,0 days 00:17:23,10.780562411312275,59,orange
LM-12HLM-34DLM-35TLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 9 L. Delaunay",-3,16:56,45,27,29,11,11,8,72.7,89,18,3,16.7,10,2,2,100.0,90,15,5,10,6,4,8,9,40,30,27,10,16,7,43.8,20,11,3,27.3,25,9,7,77.8,50,13,6,7,8,6,6,6,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-44N,LM-9D,1016.0,51,60.0,9,75.0,73,-15.0,26,106.29921259842519,84,94.48818897637796,54,11.81102362204723,81,45.18072289156627,11,48.44961240310077,81,-3.2688895115345034,42,90.36144578313254,11,96.89922480620154,81,0 days 00:16:56,-6.537779023069007,42,orange
LM-12HLM-35TLM-1NLM-93PLM-2B,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",-1,15:28,42,35,29,12,16,7,43.8,19,13,5,38.5,54,10,6,60.0,19,15,7,8,11,3,4,8,38,36,25,14,17,12,70.6,88,8,2,25.0,20,10,6,60.0,16,16,5,11,11,1,4,7,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-12H,LM-35T,LM-1N,LM-93P,LM-2B,928.0,46,83.33333333333334,44,94.73684210526315,31,-11.403508771929808,31,108.62068965517241,87,98.27586206896551,34,10.344827586206904,77,52.39520958083833,28,61.224489795918366,39,-8.829280215080033,29,104.79041916167667,28,122.44897959183673,39,0 days 00:15:28,-17.658560430160065,29,orange
LM-34DLM-35TLM-1NLM-93PLM-2B,"34 D. DiLeo, 35 T. Thomas, 1 A. N'Doye, 93 N. Penda, 2 T. Buchanan",11,15:15,37,36,22,14,12,11,91.7,99,10,3,30.0,33,5,5,100.0,90,11,2,9,11,1,7,9,38,25,26,9,18,7,38.9,12,8,2,25.0,20,6,5,83.3,64,9,6,3,4,6,2,6,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,1 A. N'Doye,93 N. Penda,2 T. Buchanan,LM-34D,LM-35T,LM-1N,LM-93P,LM-2B,915.0,45,97.2972972972973,71,65.78947368421053,86,31.50782361308677,87,97.04918032786885,55,99.672131147541,30,-2.622950819672141,40,74.38016528925621,90,43.64525139664804,92,30.73491389260817,96,148.76033057851242,90,87.29050279329608,92,0 days 00:15:15,61.46982778521634,96,orange
